Rank,Time,Athlete,,,,,Team,,Meet Name,,,,Date,,,,
,,,,,,,Code,,,,,,Date,,,,

1/28/2020 11:17:32 AM,,,,,,NCAA Division I Lists,,,,,,,,Page,1,of,5
,,,,NCAA Division I Record Progressions,,,,,,,,,,,,,
Women's 50 FR SCY,,,,,,,,,,,,,,,,,
1,20.90,Abbey Weitzeil,,,,,,,,,,,12/5/2019,,,,
2,21.02,Abbey Weitzeil,,,,,CAL,,2019 NCAA DI Women's Champs,,,,3/21/2019,,,,
3,21.15,Erika Brown,,,,,TENN,,2019 SEC Champs,,,,2/20/2019,,,,
4,21.17,Simone Manuel,,,,,STAN,,2017 NCAA DI Womens ,,,,3/16/2017,,,,
5,21.21,Olivia Smoliga,,,,,UGA,,2016 NCAA DI Womens,,,,3/17/2016,,,,
6,21.27,Lara Jackson,,,,,ARIZ,,2009 NCAA DI Women's ,,,,3/19/2009,,,,
7,21.33,Lara Jackson,,,,,ARIZ,,UT Invite,,,,12/4/2008,,,,
8,21.37,Lara Jackson,,,,,ARIZ,,UT Invite,,,,12/4/2008,,,,
,,,,,,,,,,,,,,,,,
Men's 50 FR SCY,,,,,,,,,,,,,,,,,
1,17.63,Caeleb Dressel,,,,,FLOR,,2018 NCAA D 1 Mens Champs,,,,3/22/2018,,,,
2,18.11,Caeleb Dressel,,,,,FLOR,,2018 NCAA D 1 Mens Champs,,,,3/22/2018,,,,
3,18.20,Caeleb Dressel,,,,,FLOR,,2016 NCAA DI Mens ,,,,3/24/2016,,,,
4,18.23,Caeleb Dressel,,,,,,,,,,,2/17/2016,,,,
5,18.39,Caeleb Dressel,,,,,,,,,,,2/17/2016,,,,
6,18.47,Cesar Cielo,,,,,AUB,,2008 NCAA DI Men's Championships,,,,3/27/2008,,,,
7,18.69,Cesar Cielo,,,,,,,2007 NCAA DI Men's Championships,,,,3/15/2007,,,,
8,18.74,Fred Bousquet,,,,,,,2005 Men's NCAA Champs,,,,3/24/2005,,,,
,,,,,,,,,,,,,,,,,
Women's 100 FR SCY,,,,,,,,,,,,,,,,,
1,45.56,Simone Manuel,,,,,STAN,,2017 NCAA DI Womens ,,,,3/18/2017,,,,
2,46.09,Simone Manuel,,,,,STAN,,2015 NCAA D1 Womens ,,,,3/21/2015,,,,
3,46.61,Arianna Vanderpool-Wallace,,,,,AUB,,2012 SEC Swimming & Diving Cha,,,,2/18/2012,,,,
,,,,,,,,,,,,,,,,,
4,46.81,Arianna Vanderpool-Wallace,,,,,AUB,,2011 SEC Championships,,,,2/16/2011,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Men's 100 FR SCY,,,,,,,,,,,,,,,,,
1,39.90,Caeleb Dressel,,,,,FLOR,,2018 NCAA D 1 Mens Champs,,,,3/24/2018,,,,
2,40.00,Caeleb Dressel,,,,,FLOR,,2017 NCAA DI Mens ,,,,3/25/2017,,,,
3,40.46,Caeleb Dressel,,,,,FLOR,,2016 NCAA DI Mens ,,,,3/26/2016,,,,
4,40.76,Vladimir Morozov,,,,,USC,,2013 NCAA Division 1 Men's ,,,,3/30/2013,,,,
5,40.92,Cesar Cielo,,,,,AUB,,2008 NCAA DI Men's Championships,,,,3/27/2008,,,,
,,,,,,,,,,,,,,,,,
Women's 200 FR SCY,,,,,,,,,,,,,,,,,
1,1:39.10,Missy Franklin Johnson,,,,,CAL,,2015 NCAA D1 Womens ,,,,3/20/2015,,,,
2,1:40.31,Missy Franklin Johnson,,,,,CAL,,2014 NCAA Womens D1 ,,,,3/20/2014,,,,
3,1:41.21,Megan Romano,,,,,UGA,,2012 NCAA DI Women's ,,,,3/15/2012,,,,
,,,,,,,,,,,,,,,,,
4,1:41.53,Dana Vollmer,,,,,CAL,,2009 WOMENS PAC10 SWIMMING ,,,,2/25/2009,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Men's 200 FR SCY,,,,,,,,,,,,,,,,,
1,1:29.15,Dean Farris,,,,,HARV,,2019 NCAA Division I Men's ,,,,3/27/2019,,,,
2,1:29.50,Townley Haas,,,,,TEX,,2018 NCAA D 1 Mens Champs,,,,3/23/2018,,,,
3,1:29.63,Blake Pieroni,,,,,IU,,2018 NCAA D 1 Mens Champs,,,,3/21/2018,,,,
4,1:30.46,Townley Haas,,,,,TEX,,2016 NCAA DI Mens ,,,,3/25/2016,,,,
5,1:31.20,Simon Burnett,,,,,,,2006 Men's NCAA Champs,,,,3/23/2006,,,,
6,1:32.22,Simon Burnett,,,,,,,2004 ST UT Invite,,,,12/2/2004,,,,
,,,,,,,,,,,,,,,,,
Women's 500 FR SCY,,,,,,,,,,,,,,,,,
1,4:24.06,Katie Ledecky,,,,,STAN,,2017 NCAA DI Womens ,,,,3/16/2017,,,,
1/28/2020 11:17:32 AM,,,,,,NCAA Division I Lists,,,,,,,,,,,
,,,,NCAA Division I Record Progressions,,,,,,,,,,Page,2,of,5
Rank,Time,Athlete,,,,,Team ,,Meet Name,,,,Swim,,,,
,,,,,,,Code,,,,,,Date,,,,
Women's 500 FR SCY,,,,,,,,,,,,,,,,,
2,4:25.15,Katie Ledecky,,,,,,,,,,,2/22/2017,,,,
3,4:26.46,Katie Ledecky,,,,,STAN,,Ohio State Invitational,,,,11/18/2016,,,,
4,4:30.37,Leah Smith,,,,,UVA,,2015 NCAA D1 Womens ,,,,3/19/2015,,,,
5,4:31.90,Cierra Runge,,,,,CAL,,2015 WOMENS PAC-12 SWIMMING ,,,,,,,,
,,,,,,,,,CH,,,,2/26/2015,,,,
6,4:32.53,Brittany MacLean,,,,,UGA,,2014 NCAA Womens D1 ,,,,3/20/2014,,,,
7,4:32.71,Allison Schmitt,,,,,UGA,,2011 NCAA DI Women's ,,,,3/17/2011,,,,
,,,,,,,,,,,,,,,,,
8,4:33.60,Caroline Burckle,,,,,FLOR,,2008 NCAA DI Women's ,,,,3/20/2008,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Men's 500 FR SCY,,,,,,,,,,,,,,,,,
1,4:08.19,Townley Haas,,,,,TEX,,2019 NCAA Division I Men's ,,,,3/28/2019,,,,
2,4:08.42,Clark Smith,,,,,TEX,,2017 NCAA DI Mens ,,,,3/23/2017,,,,
3,4:08.60,Peter Vanderkaay,,,,,,,2006 Men's NCAA Champs,,,,3/23/2006,,,,
4,4:09.82,Peter Vanderkaay,,,,,,,2005 Men's NCAA Champs,,,,3/24/2005,,,,
,,,,,,,,,,,,,,,,,
Women's 1000 FR SCY,,,,,,,,,,,,,,,,,
1,9:06.90,Katie Ledecky,,,,,STAN,,2017 NCAA DI Womens ,,,,3/15/2017,,,,
2,9:08.94,Katie Ledecky,,,,,STAN,,Ohio State Invitational,,,,11/20/2016,,,,
3,9:10.49,Katie Ledecky,,,,,STAN,,Texas @ Stanford Women,,,,11/12/2016,,,,
4,9:20.15,Leah Smith,,,,,UVA,,2016 ACC Women's Championship,,,,2/20/2016,,,,
,,,,,,,,,,,,,,,,,
Men's 1000 FR SCY,,,,,,,,,,,,,,,,,
1,8:33.93,Clark Smith,,,,,,,,,,,12/5/2015,,,,
2,8:43.48,Michael McBroom,,,,,TEX,,UT vs Arizona vs SMU,,,,2/1/2013,,,,
,,,,,,,,,,,,,,,,,
Women's 1650 FR SCY,,,,,,,,,,,,,,,,,
1,15:03.31,Katie Ledecky,,,,,STAN,,Art Adamson Invitational Worki,,,,11/18/2017,,,,
2,15:03.92,Katie Ledecky,,,,,STAN,,Ohio State Invitational,,,,11/20/2016,,,,
3,15:25.30,Leah Smith,,,,,UVA,,2016 ACC Women's Championship,,,,2/20/2016,,,,
4,15:27.84,Brittany MacLean,,,,,UGA,,2014 NCAA Womens D1 ,,,,3/20/2014,,,,
5,15:37.06,Stephanie Peacock,,,,,UNC,,Ohio State Invitational,,,,11/30/2012,,,,
6,15:38.79,Stephanie Peacock,,,,,UNC,,2012 NCAA DI Women's ,,,,3/15/2012,,,,
,,,,,,,,,,,,,,,,,
7,15:39.14,Janet Evans,,,,,,,1990 ST NCAA Champs,,,,3/15/1990,,,,
,,,,,,,,,,,,,,,,,
Men's 1650 FR SCY,,,,,,,,,,,,,,,,,
1,14:22.41,Clark Smith,,,,,TEX,,2017 NCAA DI Mens ,,,,3/25/2017,,,,
2,14:24.08,Martin Grodzki,,,,,UGA,,2012 NCAA DI Men's Championships,,,,3/22/2012,,,,
3,14:26.62,Chris Thompson,,,,,,,2001 US Men's NCAA Champs ,,,,3/22/2001,,,,
,,,,,,,,,,,,,,,,,
Women's 100 BK SCY,,,,,,,,,,,,,,,,,
1,49.18,Beata Nelson,,,,,WISC,,2019 NCAA DI Women's Champs,,,,3/22/2019,,,,
2,49.67,Beata Nelson,,,,,WISC,,Texas Hall of Fame Swimming In,,,,11/30/2018,,,,
3,49.69,Ally Howe,,,,,STAN,,2017 WOMENS PAC-12 SWIMMING ,,,,2/24/2017,,,,
,,,,,,,,,,,,,,,,,
4,49.97,Natalie Hall,,,,,,,2002 Women's NCAA Champs,,,,3/22/2002,,,,
5,50.57,Natalie Hall,,,,,,,,,,,2/26/2002,,,,
,,,,,,,,,,,,,,,,,
Men's 100 BK SCY,,,,,,,,,,,,,,,,,
1,43.49,Ryan Murphy,,,,,CAL,,2016 NCAA DI Mens ,,,,3/25/2016,,,,
2,43.51,Ryan Murphy,,,,,CAL,,2016 NCAA DI Mens ,,,,3/24/2016,,,,
1/28/2020 11:17:32 AM,,,,,,NCAA Division I Lists,,,,,,,,,,,
,,,,NCAA Division I Record Progressions,,,,,,,,,,Page,3,of,5
Rank,Time,Athlete,,,,,Team ,,Meet Name,,,,Swim,,,,
,,,,,,,Code,,,,,,Date,,,,
Men's 100 BK SCY,,,,,,,,,,,,,,,,,
3,44.17,Ryan Murphy,,,,,CAL,,2015 NCAA DI Mens ,,,,3/26/2015,,,,
4,44.60,Ryan Lochte,,,,,,,2006 Men's NCAA Champs,,,,3/23/2006,,,,
5,44.92,Neil Walker,,,,,,,1997 US Men's NCAA Champs,,,,3/28/1997,,,,
,,,,,,,,,,,,,,,,,
Women's 200 BK SCY,,,,,,,,,,,,,,,,,
1,1:47.24,Beata Nelson,,,,,WISC,,2019 NCAA DI Women's Champs,,,,3/23/2019,,,,
2,1:47.30,Kathleen Baker,,,,,CAL,,2018 NCAA DI Womens Swim,,,,3/17/2018,,,,
3,1:47.84,Elizabeth Pelton,,,,,CAL,,2013 NCAA D1 Women's Swimming,,,,3/21/2013,,,,
4,1:48.34,Gemma Spofforth,,,,,FLOR,,2009 SEC Championships,,,,2/18/2009,,,,
5,1:49.52,Natalie Hall,,,,,,,2002 Women's NCAA Champs,,,,3/21/2002,,,,
,,,,,,,,,,,,,,,,,
Men's 200 BK SCY,,,,,,,,,,,,,,,,,
1,1:35.73,Ryan Murphy,,,,,CAL,,2016 NCAA DI Mens ,,,,3/26/2016,,,,
2,1:36.77,Ryan Murphy,,,,,CAL,,2015 NCAA DI Mens ,,,,3/28/2015,,,,
3,1:37.35,Ryan Murphy,,,,,CAL,,2014 NCAA Mens DI ,,,,3/27/2014,,,,
4,1:37.58,Tyler Clary,,,,,MICH,,2009 NCAA DI Men's Championships,,,,3/26/2009,,,,
5,1:37.68,Ryan Lochte,,,,,,,2006 Men's NCAA Champs,,,,3/23/2006,,,,
,,,,,,,,,,,,,,,,,
Women's 100 BR SCY,,,,,,,,,,,,,,,,,
1,55.73,Lilly King,,,,,IU,,2019 NCAA DI Women's Champs,,,,3/22/2019,,,,
2,55.88,Lilly King,,,,,IU,,2019 Women's B1G Ten Champs,,,,2/22/2019,,,,
3,56.25,Lilly King,,,,,IU,,2018 NCAA DI Womens Swim,,,,3/16/2018,,,,
4,56.30,Lilly King,,,,,IU,,2017 Women's B1G Championships,,,,2/17/2017,,,,
5,56.85,Lilly King,,,,,IU,,2016 NCAA DI Womens,,,,3/18/2016,,,,
6,57.15,Lilly King,,,,,IU,,2016 NCAA DI Womens,,,,3/18/2016,,,,
7,57.23,Breeja Larson,,,,,TA&M,,2014 NCAA Womens D1 ,,,,3/20/2014,,,,
8,57.28,Breeja Larson,,,,,TA&M,,2014 SEC Swimming & Diving Cha,,,,2/18/2014,,,,
9,57.43,Breeja Larson,,,,,TA&M,,2013 SEC Swimming & Diving Cha,,,,2/19/2013,,,,
10,57.53,Breeja Larson,,,,,TA&M,,2012 UH Phill Hansel Inv,,,,11/15/2012,,,,
11,57.71,Breeja Larson,,,,,TA&M,,2012 NCAA DI Women's ,,,,3/15/2012,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Men's 100 BR SCY,,,,,,,,,,,,,,,,,
1,49.69,Ian Finnerty,,,,,IU,,2018 NCAA D 1 Mens Champs,,,,3/23/2018,,,,
2,50.03,Caeleb Dressel,,,,,FLOR,,2018 SEC Swimming & Diving Cha,,,,2/17/2018,,,,
3,50.04,Kevin Cordes,,,,,ARIZ,,2014 NCAA Mens DI ,,,,3/27/2014,,,,
4,50.55,Kevin Cordes,,,,,ARIZ,,2014 NCAA Mens DI ,,,,3/28/2014,,,,
5,50.70,Kevin Cordes,,,,,ARIZ,,2013 UT Invite,,,,12/5/2013,,,,
6,50.74,Kevin Cordes,,,,,ARIZ,,2013 NCAA Division 1 Men's ,,,,3/28/2013,,,,
7,50.86,Damir Dugonjic,,,,,CAL,,2009 NCAA DI Men's Championships,,,,3/26/2009,,,,
,,,,,,,,,,,,,,,,,
Women's 200 BR SCY,,,,,,,,,,,,,,,,,
1,2:02.60,Lilly King,,,,,IU,,2018 NCAA DI Womens Swim,,,,3/17/2018,,,,
2,2:03.18,Lilly King,,,,,IU,,2017 NCAA DI Womens ,,,,3/18/2017,,,,
3,2:03.59,Lilly King,,,,,IU,,2016 NCAA DI Womens,,,,3/19/2016,,,,
4,2:04.06,Emma Reaney,,,,,ND,,2014 NCAA Womens D1 ,,,,3/20/2014,,,,
5,2:04.34,Emma Reaney,,,,,ND,,2014 ACC Women's Championship,,,,2/19/2014,,,,
6,2:04.48,Breeja Larson,,,,,TA&M,,2012 UH Phill Hansel Inv,,,,11/15/2012,,,,
7,2:04.75,Rebecca Soni,,,,,USC,,2009 WOMENS PAC10 SWIMMING ,,,,2/25/2009,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Men's 200 BR SCY,,,,,,,,,,,,,,,,,
1/28/2020 11:17:32 AM,,,,,,NCAA Division I Lists,,,,,,,,,,,
,,,,NCAA Division I Record Progressions,,,,,,,,,,Page,4,of,5
Rank,Time,Athlete,,,,,Team ,,Meet Name,,,,Swim,,,,
,,,,,,,Code,,,,,,Date,,,,
Men's 200 BR SCY,,,,,,,,,,,,,,,,,
1,1:47.91,Will Licon,,,,,TEX,,2017 NCAA DI Mens ,,,,3/25/2017,,,,
2,1:48.12,Will Licon,,,,,TEX,,2016 NCAA DI Mens ,,,,3/26/2016,,,,
3,1:48.66,Kevin Cordes,,,,,ARIZ,,2014 NCAA Mens DI ,,,,3/27/2014,,,,
4,1:48.68,Kevin Cordes,,,,,ARIZ,,2013 NCAA Division 1 Men's ,,,,3/28/2013,,,,
5,1:49.79,Kevin Cordes,,,,,ARIZ,,2013 NCAA Division 1 Men's ,,,,3/28/2013,,,,
6,1:50.73,Kevin Cordes,,,,,ARIZ,,2012 AT&T Winter National Cham,,,,11/29/2012,,,,
7,1:51.40,Neil Versfeld,,,,,,,2009 NCAA DI Men's Championships,,,,3/26/2009,,,,
,,,,,,,,,,,,,,,,,
Women's 100 FL SCY,,,,,,,,,,,,,,,,,
1,49.26,Louise Hansson,,,,,USC,,2019 NCAA DI Women's Champs,,,,3/22/2019,,,,
1,49.26,Maggie MacNeil,,,,,,,,,,,12/6/2019,,,,
3,49.34,Louise Hansson,,,,,USC,,2019 PAC-12 Women's Champs,,,,3/1/2019,,,,
4,49.43,Kelsi Dahlia,,,,,LOU,,2016 NCAA DI Womens,,,,3/18/2016,,,,
5,49.81,Kelsi Dahlia,,,,,LOU,,2015 NCAA D1 Womens ,,,,3/20/2015,,,,
6,49.89,Kelsi Dahlia,,,,,LOU,,2015 NCAA D1 Womens ,,,,3/20/2015,,,,
7,50.01,Natalie Hall,,,,,,,2002 Women's NCAA Champs,,,,3/21/2002,,,,
8,51.18,Natalie Hall,,,,,,,2001 Women's NCAA Champs,,,,3/15/2001,,,,
,,,,,,,,,,,,,,,,,
Men's 100 FL SCY,,,,,,,,,,,,,,,,,
1,42.80,Caeleb Dressel,,,,,FLOR,,2018 NCAA D 1 Mens Champs,,,,3/23/2018,,,,
2,43.58,Caeleb Dressel,,,,,FLOR,,2017 NCAA DI Mens ,,,,3/24/2017,,,,
3,44.01,Joe Schooling,,,,,TEX,,2016 NCAA DI Mens ,,,,3/25/2016,,,,
4,44.18,Austin Staab,,,,,STAN,,2009 NCAA DI Men's Championships,,,,3/26/2009,,,,
5,44.57,Albert Subirats,,,,,,,2007 NCAA DI Men's Championships,,,,3/15/2007,,,,
,,,,,,,,,,,,,,,,,
Women's 200 FL SCY,,,,,,,,,,,,,,,,,
1,1:49.51,Ella Eastin,,,,,STAN,,2018 PAC-12 WOMEN'S SWIMMING &,,,,2/24/2018,,,,
2,1:49.92,Elaine Breeden,,,,,STAN,,2009 WOMENS PAC10 SWIMMING ,,,,,,,,
,,,,,,,,,CHA,,,,2/25/2009,,,,
3,1:51.91,Natalie Hall,,,,,,,2002 SE Auburn Tiger Invite,,,,12/5/2002,,,,
,,,,,,,,,,,,,,,,,
Men's 200 FL SCY,,,,,,,,,,,,,,,,,
1,1:37.35,Jack Conger,,,,,TEX,,2017 NCAA DI Mens ,,,,3/25/2017,,,,
2,1:37.97,Joe Schooling,,,,,TEX,,2016 NCAA DI Mens ,,,,3/26/2016,,,,
3,1:39.33,Dylan Bosch,,,,,MICH,,2014 NCAA Mens DI ,,,,3/27/2014,,,,
4,1:39.65,Tom Shields,,,,,CAL,,2013 NCAA Division 1 Men's ,,,,3/28/2013,,,,
5,1:40.31,Tom Shields,,,,,CAL,,2011 CA OB MENS PAC10 SWIMMING,,,,3/2/2011,,,,
6,1:40.75,Shaune Fraser,,,,,FLOR,,2009 NCAA DI Men's Championships,,,,3/26/2009,,,,
,,,,,,,,,,,,,,,,,
Women's 200 IM SCY,,,,,,,,,,,,,,,,,
1,1:50.67,Ella Eastin,,,,,STAN,,2018 NCAA DI Womens Swim,,,,3/15/2018,,,,
2,1:51.65,Ella Eastin,,,,,STAN,,2016 NCAA DI Womens,,,,3/17/2016,,,,
3,1:51.77,Caitlin Leverenz,,,,,CAL,,2012 NCAA DI Women's ,,,,3/15/2012,,,,
,,,,,,,,,Championships,,,,,,,,
4,1:52.31,Julia Smit,,,,,STAN,,2010 CA OB WOMENS PAC10 ,,,,,,,,
,,,,,,,,,SWIMMI,,,,2/24/2010,,,,
5,1:52.79,Julia Smit,,,,,STAN,,2009 NCAA DI Women's ,,,,3/19/2009,,,,
,,,,,,,,,Championships,,,,,,,,
,,,,,,,,,,,,,,,,,
Men's 200 IM SCY,,,,,,,,,,,,,,,,,
1,1:38.13,Caeleb Dressel,,,,,FLOR,,2018 SEC Swimming & Diving Cha,,,,2/15/2018,,,,
2,1:39.38,David Nolan,,,,,STAN,,2015 NCAA DI Mens ,,,,3/26/2015,,,,
3,1:40.07,David Nolan,,,,,STAN,,2015 MEN'S PAC12 SWIMMING/DIVI,,,,3/5/2015,,,,
1/28/2020 11:17:32 AM,,,,,,NCAA Division I Lists,,,,,,,,,,,
,,,,NCAA Division I Record Progressions,,,,,,,,,,Page,5,of,5
Rank,Time,Athlete,,,,,Team ,,Meet Name,,,,Swim,,,,
,,,,,,,Code,,,,,,Date,,,,
Men's 200 IM SCY,,,,,,,,,,,,,,,,,
4,1:40.49,Bradley Ally,,,,,FLOR,,2009 NCAA DI Men's Championships,,,,3/26/2009,,,,
5,1:40.55,Ryan Lochte,,,,,,,2006 Men's NCAA Champs,,,,3/23/2006,,,,
,,,,,,,,,,,,,,,,,
Women's 400 IM SCY,,,,,,,,,,,,,,,,,
1,3:54.60,Ella Eastin,,,,,STAN,,2018 NCAA DI Womens Swim,,,,3/16/2018,,,,
2,3:56.53,Katie Ledecky,,,,,STAN,,2018 PAC-12 WOMEN'S SWIMMING &,,,,2/23/2018,,,,
3,3:56.54,Katinka Hosszu,,,,,USC,,2012 NCAA DI Women's ,,,,,,,,
,,,,,,,,,Championships,,,,3/16/2012,,,,
4,3:58.23,Julia Smit,,,,,STAN,,2010 CA OB WOMENS PAC10 ,,,,,,,,
,,,,,,,,,SWIMMI,,,,2/24/2010,,,,
,,,,,,,,,,,,,,,,,
Men's 400 IM SCY,,,,,,,,,,,,,,,,,
1,3:33.42,Chase Kalisz,,,,,UGA,,2017 NCAA DI Mens ,,,,3/24/2017,,,,
2,3:34.50,Chase Kalisz,,,,,UGA,,2014 NCAA Mens DI ,,,,3/27/2014,,,,
3,3:35.98,Tyler Clary,,,,,MICH,,2009 NCAA DI Men's Championships,,,,3/26/2009,,,,
4,3:38.03,Tyler Clary,,,,,MICH,,Big Ten Men,,,,2/26/2009,,,,
,,,,,,,,,,,,,,,,,
