1/30/2020 6:38:05 PM,,,,,,Highlighted Record ,,,,,,,Page,1,of,12
12,1:05.29,Emma Igelstrom,,,,SWE,,,,,,3/15/2005,,,,
13,1:05.38,Emma Igelstrom,,,,SWE,,,,,,4/6/2002,,,,
14,1:05.40,Penelope Heyns,,,,RSA,,,,,,9/26/1999,,,,
15,1:05.57,Penelope Heyns,,,,RSA,,,,,,9/5/1999,,,,
16,1:05.70,Samantha Riley,,,,AUS,,,,,,12/2/1995,,,,
17,1:06.58,Dai Guohong,,,,CHN,,,,,,12/4/1996,,,,
,,,,,,,,,,,,,,,,
Men's 200 BR SCM,,,,,,,,,,,,,,,,
1,2:00.16,Kirill Prigoda,,,,RUS,,2018 SCM World Champs,,,,12/13/2018,,Hangzhou,,
2,2:00.44,Marco Koch,,,,GER,,2016 German national short course ,,,,11/20/2016,,Berlin,,
,,,,,,,,championships,,,,,,,,
3,2:00.48,Daniel Gyurta,,,,HUN,,2014 World Cup - Dubai,,,,8/31/2014,,Dubai,,
4,2:00.67,Daniel Gyurta,,,,HUN,,2009 European SC Champs,,,,12/13/2009,,Istanbul,,
5,2:01.98,Christian Sprenger,,,,AUS,,,,,,8/10/2009,,,,
1/30/2020 6:38:05 PM,,,,,,Highlighted Record ,,,,,,,Page,7,of,12
,,,,World Record Progressions,,,,,,,,,,,,
Rank,Time,Athlete,,,,Swimmer,,Meet Name,,,,Swim,,Location,,
,,,,,,Country,,,,,,Date,,City,,
Men's 200 BR SCM,,,,,,,,,,,,,,,,
6,2:02.92,Ed Moses,,,,USA,,2004 US World Cup Berlin,,,,1/17/2004,,,,
7,2:03.17,Ed Moses,,,,USA,,,,,,1/26/2002,,,,
8,2:03.28,Ed Moses,,,,USA,,,,,,1/22/2002,,,,
9,2:04.37,Ed Moses,,,,USA,,,,,,1/18/2002,,,,
10,2:06.40,Ed Moses,,,,USA,,,,,,3/25/2000,,,,
11,2:07.59,Roman Sloudnov,,,,RUS,,,,,,3/19/2000,,,,
12,2:07.79,Andrei Korneev,,,,RUS,,,,,,3/28/1998,,,,
13,2:07.80,Phillip Rogers,,,,AUS,,,,,,8/28/1993,,,,
14,2:07.93,Nick Gillingham,,,,GBR,,,,,,10/20/1991,,,,
,,,,,,,,,,,,,,,,
Women's 200 BR SCM,,,,,,,,,,,,,,,,
1,2:14.57,Rebecca Soni,,,,USA,,Top Times (personal best),,,,12/18/2009,,Manchester,,
2,2:15.42,Leisel Jones,,,,AUS,,,,,,11/15/2009,,,,
3,2:16.83,Annamay Pierse,,,,CAN,,,,,,8/7/2009,,,,
4,2:17.53,Annamay Pierse,,,,CAN,,,,,,3/14/2009,,,,
5,2:17.75,Leisel Jones,,,,AUS,,,,,,11/29/2003,,,,
6,2:18.86,Qi Hui,,,,CHN,,,,,,12/2/2002,,,,
7,2:19.25,Qi Hui,,,,CHN,,,,,,1/28/2001,,,,
8,2:20.22,Masami Tanaka,,,,JPN,,,,,,4/2/1999,,,,
9,2:20.85,Samantha Riley,,,,AUS,,,,,,12/1/1995,,,,
10,2:21.99,Dai Guohong,,,,CHN,,,,,,12/3/1993,,,,
11,2:22.89,Dai Guohong,,,,CHN,,,,,,12/3/1993,,,,
,,,,,,,,,,,,,,,,
Men's 50 FL SCM,,,,,,,,,,,,,,,,
1,21.75,Nicholas Santos,,,,BRA,,2018 World Cup - Budapest,,,,10/6/2018,,Budapest,,
2,21.80,Steffen Deibler,,,,GER,,,,,,11/14/2009,,Berlin,,
3,22.06,Steffen Deibler,,,,GER,,,,,,10/25/2009,,,,
4,22.18,Amaury Leveaux,,,,FRA,,,,,,12/14/2008,,,,
5,22.29,Amaury Leveaux,,,,FRA,,,,,,12/6/2008,,,,
6,22.50,Matt Jaukovic,,,,AUS,,,,,,10/25/2008,,,,
7,22.60,Kaio Marcio,,,,BRA,,,,,,12/17/2005,,,,
8,22.71,Ian Crocker,,,,USA,,,,,,10/10/2004,,,,
9,22.74,Geoff Huegill,,,,AUS,,,,,,1/26/2002,,,,
10,22.84,Geoff Huegill,,,,AUS,,,,,,1/22/2002,,,,
10,22.84,Geoff Huegill,,,,AUS,,,,,,12/8/2001,,,,
12,22.87,Mark Foster,,,,GBR,,,,,,1/17/2001,,,,
13,23.19,Lars Froelander,,,,SWE,,,,,,3/19/2000,,,,
14,23.21,Michael Klim,,,,AUS,,,,,,9/5/1999,,,,
15,23.30,Milos Milosevic,,,,CRO,,,,,,12/12/1998,,,,
16,23.35,Denis Pankratov,,,,RUS,,,,,,2/8/1997,,,,
17,23.45,Mark Foster,,,,GBR,,,,,,12/15/1995,,,,
18,23.55,Mark Foster,,,,GBR,,,,,,2/11/1995,,,,
,,,,,,,,,,,,,,,,
Women's 50 FL SCM,,,,,,,,,,,,,,,,
1,24.38,Therese Alshammar,,,,SWE,,,,,,11/22/2009,,Singapore,,
2,24.46,Therese Alshammar,,,,SWE,,,,,,11/11/2009,,,,
3,24.75,Therese Alshammar,,,,SWE,,,,,,10/17/2009,,,,
4,24.99,Marieke D'Cruz,,,,AUS,,,,,,11/16/2008,,,,
5,25.31,Therese Alshammar,,,,SWE,,,,,,11/12/2008,,,,
6,25.32,Felicity Galvez,,,,AUS,,,,,,4/11/2008,,,,
1/30/2020 6:38:05 PM,,,,,,Highlighted Record ,,,,,,,Page,8,of,12
,,,,World Record Progressions,,,,,,,,,,,,
Rank,Time,Athlete,,,,Swimmer,,Meet Name,,,,Swim,,Location,,
,,,,,,Country,,,,,,Date,,City,,
Women's 50 FL SCM,,,,,,,,,,,,,,,,
7,25.33,Anna-Karin Kammerling,,,,SWE,,,,,,3/12/2005,,,,
8,25.36,Anna-Karin Kammerling,,,,SWE,,,,,,1/25/2001,,,,
9,25.60,Anna-Karin Kammerling,,,,SWE,,,,,,12/15/2000,,,,
10,25.64,Anna-Karin Kammerling,,,,SWE,,,,,,12/10/1999,,,,
11,26.00,Jenny Thompson,,,,USA,,,,,,11/18/1999,,,,
12,26.05,Jenny Thompson,,,,USA,,,,,,12/2/1998,,,,
13,26.48,Jenny Thompson,,,,USA,,,,,,11/29/1997,,,,
14,26.55,Misty Hyman,,,,USA,,,,,,4/19/1997,,,,
15,26.56,Angie Kennedy,,,,AUS,,,,,,2/12/1995,,,,
16,26.73,Amy Rouen,,,,USA,,,,,,2/1/1995,,,,
,,,,,,,,,,,,,,,,
Men's 100 FL SCM,,,,,,,,,,,,,,,,
1,48.08,Chad le Clos,,,,RSA,,2016 SCM World Champs ,,,,12/8/2016,,Windsor,,
2,48.44,Chad le Clos,,,,RSA,,2014 SCM World Champs ,,,,12/4/2014,,Doha,,
3,48.48,Evgeny Korotyshkin,,,,RUS,,FINA/ARENA Swimming World Cup ,,,,11/15/2009,,Berlin,,
,,,,,,,,2009,,,,,,,,
4,48.99,Evgeny Korotyshkin,,,,RUS,,,,,,11/7/2009,,,,
5,49.07,Ian Crocker,,,,USA,,,,,,3/26/2004,,,,
6,49.77,Ian Crocker,,,,USA,,,,,,3/26/2004,,,,
7,50.02,Milo Cavic,,,,SRB,,,,,,12/12/2003,,,,
8,50.10,Thomas Rupprath,,,,GER,,,,,,1/27/2002,,,,
9,50.26,Thomas Rupprath,,,,GER,,,,,,12/14/2001,,,,
10,50.44,Lars Froelander,,,,SWE,,,,,,3/17/2000,,,,
11,50.59,Lars Froelander,,,,SWE,,,,,,3/16/2000,,,,
12,50.99,Michael Klim,,,,AUS,,,,,,9/2/1999,,,,
13,51.02,James Hickman,,,,GBR,,,,,,12/13/1998,,,,
14,51.07,Michael Klim,,,,AUS,,,,,,2/22/1998,,,,
15,51.16,Michael Klim,,,,AUS,,,,,,2/22/1998,,,,
16,51.78,Denis Pankratov,,,,RUS,,,,,,2/9/1997,,,,
17,51.93,Denis Pankratov,,,,RUS,,,,,,2/5/1997,,,,
,,,,,,,,,,,,,,,,
Women's 100 FL SCM,,,,,,,,,,,,,,,,
1,54.61,Sarah Sjostrom,,,,SWE,,2014 SCM World Champs ,,,,12/7/2014,,Doha,,
2,55.05,Diane Bui Duyet,,,,FRA,,2009 European SC Champs,,,,12/12/2009,,Istanbul,,
3,55.46,Felicity Galvez,,,,AUS,,,,,,11/10/2009,,,,
4,55.68,Jessicah Schipper,,,,AUS,,,,,,8/12/2009,,,,
5,55.74,Libby Trickett,,,,AUS,,,,,,4/26/2008,,,,
6,55.89,Felicity Galvez,,,,AUS,,,,,,3/13/2008,,,,
7,55.95,Libby Trickett,,,,AUS,,,,,,8/28/2006,,,,
8,56.34,Natalie Hall,,,,USA,,,,,,11/22/2002,,,,
9,56.55,Martina Moravcikova,,,,CZE,,,,,,1/26/2002,,,,
10,56.56,Jenny Thompson,,,,USA,,,,,,3/18/2000,,,,
11,56.80,Jenny Thompson,,,,USA,,,,,,2/12/2000,,,,
12,56.90,Jenny Thompson,,,,USA,,,,,,12/1/1998,,,,
13,57.79,Jenny Thompson,,,,USA,,,,,,4/19/1997,,,,
14,58.24,Ayari Aoyama,,,,JPN,,,,,,3/28/1997,,,,
15,58.29,Misty Hyman,,,,USA,,,,,,12/1/1996,,,,
16,58.68,Liu Limin,,,,CHN,,,,,,12/2/1995,,,,
17,58.77,Angela Kennedy,,,,AUS,,,,,,2/18/1995,,,,
1/30/2020 6:38:05 PM,,,,,,Highlighted Record ,,,,,,,Page,9,of,12
,,,,World Record Progressions,,,,,,,,,,,,
Rank,Time,Athlete,,,,Swimmer,,Meet Name,,,,Swim,,Location,,
,,,,,,Country,,,,,,Date,,City,,
Men's 200 FL SCM,,,,,,,,,,,,,,,,
1,1:48.24,Daiya Seto,,,,JPN,,2018 SCM World Champs,,,,12/11/2018,,Hangzhou,,
2,1:48.32,Chad le Clos,,,,RSA,,2018 SCM World Champs,,,,12/11/2018,,Hangzhou,,
3,1:48.56,Chad le Clos,,,,RSA,,2013 World Cup - Singapore,,,,11/5/2013,,Singapore,,
4,1:49.04,Chad le Clos,,,,RSA,,2013 World Cup2 - Eindhoven ,,,,8/7/2013,,Eindhoven,,
5,1:49.11,Kaio Marcio,,,,BRA,,Top Times (personal best),,,,11/10/2009,,Stockholm,,
6,1:50.53,Nikolay Skvortsov,,,,RUS,,,,,,2/15/2009,,,,
7,1:50.60,Nikolay Skvortsov,,,,RUS,,,,,,12/13/2008,,,,
8,1:50.73,Franck Esposito,,,,FRA,,,,,,12/8/2002,,,,
9,1:51.21,Thomas Rupprath,,,,GER,,,,,,12/1/2001,,,,
10,1:51.28,Franck Esposito,,,,FRA,,,,,,1/14/2001,,,,
11,1:51.76,James Hickman,,,,GBR,,,,,,3/28/1998,,,,
12,1:52.64,Denis Pankratov,,,,RUS,,,,,,2/1/1997,,,,
13,1:53.05,Franck Esposito,,,,FRA,,,,,,3/26/1994,,,,
14,1:54.21,Danyon Loader,,,,NZL,,,,,,2/13/1993,,,,
15,1:54.50,Danyon Loader,,,,NZL,,,,,,2/9/1993,,,,
16,1:54.58,Danyon Loader,,,,NZL,,,,,,2/6/1993,,,,
17,1:54.67,Franck Esposito,,,,FRA,,,,,,2/1/1992,,,,
,,,,,,,,,,,,,,,,
Women's 200 FL SCM,,,,,,,,,,,,,,,,
1,1:59.61,Mireia Belmonte,,,,ESP,,2014 SCM World Champs ,,,,12/3/2014,,Doha,,
2,2:00.78,Liu Zige,,,,CHN,,FINA/ARENA Swimming World Cup ,,,,11/15/2009,,Berlin,,
,,,,,,,,2009,,,,,,,,
3,2:02.50,Liu Zige,,,,CHN,,,,,,11/11/2009,,,,
4,2:03.12,Yuko Nakanishi,,,,JPN,,,,,,2/23/2008,,,,
5,2:03.53,Otylia Jedrzejczak,,,,POL,,,,,,12/13/2007,,,,
6,2:04.04,Yang Yu,,,,CHN,,,,,,1/18/2004,,,,
7,2:04.16,Susan O'Neill,,,,AUS,,,,,,1/18/2000,,,,
8,2:04.43,Susan O'Neill,,,,AUS,,,,,,9/2/1999,,,,
9,2:05.37,Susan O'Neill,,,,AUS,,,,,,2/17/1999,,,,
,,,,,,,,,,,,,,,,
Men's 100 IM SCM,,,,,,,,,,,,,,,,
1,50.26,Vladimir Morozov,,,,RUS,,2018 World Cup - Eindhoven,,,,9/28/2018,,Eindhoven,,
1,50.26,Vladimir Morozov,,,,RUS,,2018 World Cup - Toyko,,,,11/9/2018,,Tokyo,,
3,50.30,Vladimir Morozov,,,,RUS,,2016 World Cup - Berlin,,,,8/30/2016,,Berlin,,
4,50.60,Vladimir Morozov,,,,RUS,,2016 World Cup - Paris,,,,8/26/2016,,Paris-Chartres,,
5,50.66,Markus Deibler,,,,GER,,2014 SCM World Champs ,,,,12/7/2014,,Doha,,
6,50.71,Ryan Lochte,,,,USA,,2012 SCM World Champs,,,,12/15/2012,,Istanbul,,
7,50.76,Peter Mankoc,,,,SLO,,2009 European SC Champs,,,,12/12/2009,,Istanbul,,
8,50.95,Sergey Fesikov,,,,RUS,,,,,,11/14/2009,,,,
9,51.15,Ryan Lochte,,,,USA,,2008 SC Worlds Champs,,,,4/9/2008,,,,
10,51.25,Ryan Lochte,,,,USA,,,,,,4/12/2008,,,,
11,51.52,Ryk Neethling,,,,RSA,,,,,,2/11/2005,,,,
12,52.01,Ryk Neethling,,,,RSA,,,,,,1/26/2005,,,,
13,52.11,Ryk Neethling,,,,RSA,,,,,,1/22/2005,,,,
14,52.51,Roland Schoeman,,,,RSA,,,,,,1/18/2005,,,,
15,52.58,Thomas Rupprath,,,,GER,,,,,,1/25/2003,,,,
16,52.63,Peter Mankoc,,,,SLO,,,,,,12/15/2001,,,,
17,52.79,Neil Walker,,,,USA,,,,,,3/18/2000,,,,
18,53.10,Jani Sievinen,,,,FIN,,,,,,1/30/1996,,,,
1/30/2020 6:38:05 PM,,,,,,Highlighted Record ,,,,,,,Page,10,of,12
,,,,World Record Progressions,,,,,,,,,,,,
Rank,Time,Athlete,,,,Swimmer,,Meet Name,,,,Swim,,Location,,
,,,,,,Country,,,,,,Date,,City,,
Women's 100 IM SCM,,,,,,,,,,,,,,,,
1,56.51,Katinka Hosszu,,,,HUN,,2017 World Cup - Berlin,,,,8/7/2017,,Berlin,,
2,56.67,Katinka Hosszu,,,,HUN,,2015 European SC Champs,,,,12/4/2015,,Netanya,,
3,56.70,Katinka Hosszu,,,,HUN,,2014 SCM World Champs ,,,,12/5/2014,,Doha,,
4,56.86,Katinka Hosszu,,,,HUN,,2014 World Cup - Dubai,,,,9/1/2014,,Dubai,,
5,57.25,Katinka Hosszu,,,,HUN,,2014 World Cup - Doha,,,,8/27/2014,,Doha,,
6,57.45,Katinka Hosszu,,,,HUN,,2013 World Cup - Berlin,,,,8/11/2013,,Berlin,,
7,57.50,Katinka Hosszu,,,,HUN,,2013 World Cup2 - Eindhoven ,,,,8/7/2013,,Eindhoven,,
8,57.73,Katinka Hosszu,,,,HUN,,2013 World Cup2 - Eindhoven ,,,,8/7/2013,,Eindhoven,,
9,57.74,Hinkelien Schreuder,,,,NED,,,,,,11/15/2009,,,,
10,58.40,Zhao Jing,,,,CHN,,,,,,11/11/2009,,,,
11,58.51,Therese Alshammar,,,,SWE,,,,,,10/17/2009,,,,
12,58.54,Emily Seebohm,,,,AUS,,,,,,8/10/2009,,,,
13,58.80,Natalie Hall,,,,USA,,,,,,11/23/2002,,,,
14,59.30,Jenny Thompson,,,,USA,,,,,,4/2/1999,,,,
15,1:00.35,Martina Moravcova ,,,,SVK,,,,,,4/2/1999,,,,
,,Valko,,,,,,,,,,,,,,
16,1:00.41,Jenny Thompson,,,,USA,,,,,,1/16/1999,,,,
17,1:00.43,Martina Moravcova ,,,,,,,,,,,,,,
,,Valko,,,,SVK,,,,,,12/12/1998,,,,
18,1:00.60,Hu Xiaowen,,,,CHN,,,,,,2/26/1998,,,,
,,,,,,,,,,,,,,,,
Men's 200 IM SCM,,,,,,,,,,,,,,,,
1,1:49.63,Ryan Lochte,,,,USA,,2012 SCM World Champs,,,,12/14/2012,,Istanbul,,
2,1:50.08,Ryan Lochte,,,,USA,,2010 SCM World Champs ,,,,12/17/2010,,Dubai ,,
3,1:51.55,Darian Townsend,,,,RSA,,,,,,11/15/2009,,,,
4,1:51.56,Ryan Lochte,,,,USA,,2008 SC Worlds Champs,,,,4/9/2008,,,,
5,1:52.99,Laszlo Cseh,,,,HUN,,,,,,12/13/2007,,,,
6,1:53.14,Thiago Pereira,,,,BRA,,,,,,11/18/2007,,,,
7,1:53.31,Ryan Lochte,,,,USA,,,,,,4/7/2006,,,,
8,1:53.93,George Bovell,,,,TRI,,,,,,3/25/2004,,,,
9,1:54.65,Attila Czene,,,,HUN,,,,,,3/23/2000,,,,
9,1:54.65,Jani Sievinen,,,,FIN,,,,,,1/21/1994,,,,
11,1:55.59,Jani Sievinen,,,,,,,,,,2/10/1993,,,,
12,1:56.62,Jani Sievinen,,,,FIN,,,,,,1/1/1993,,,,
13,1:56.84,Jani Sievinen,,,,FIN,,,,,,1/22/1993,,,,
14,1:57.19,Jani Sievinen,,,,FIN,,,,,,1/17/1992,,,,
,,,,,,,,,,,,,,,,
Women's 200 IM SCM,,,,,,,,,,,,,,,,
1,2:01.86,Katinka Hosszu,,,,HUN,,2014 SCM World Champs ,,,,12/6/2014,,Doha,,
2,2:02.13,Katinka Hosszu,,,,HUN,,2014 World Cup - Dubai,,,,8/31/2014,,Dubai,,
3,2:02.61,Katinka Hosszu,,,,HUN,,2014 World Cup - Doha,,,,8/27/2014,,Doha,,
4,2:03.20,Katinka Hosszu,,,,HUN,,2013 World Cup2 - Eindhoven ,,,,8/7/2013,,Eindhoven,,
5,2:04.39,Katinka Hosszu,,,,HUN,,2013 World Cup2 - Eindhoven ,,,,8/8/2013,,Eindhoven,,
6,2:04.60,Julia Smit,,,,USA,,Top Times (personal best),,,,12/19/2009,,Manchester,,
7,2:04.64,Evelyn Verraszto,,,,HUN,,,,,,12/10/2009,,,,
8,2:06.13,Kirsty Coventry,,,,,,,,,,4/12/2008,,,,
9,2:07.79,Allison Wagner,,,,USA,,,,,,12/5/1993,,,,
,,,,,,,,,,,,,,,,
Men's 400 IM SCM,,,,,,,,,,,,,,,,
1,3:54.81,Daiya Seto,,,,JPN,,2019 ISL Championship,,,,12/20/2019,,"Las Vegas, NV",,
2,3:55.50,Ryan Lochte,,,,USA,,2010 SCM World Champs ,,,,12/16/2010,,Dubai (UAE),,
1/30/2020 6:38:05 PM,,,,,,Highlighted Record ,,,,,,,Page,11,of,12
,,,,World Record Progressions,,,,,,,,,,,,
Rank,Time,Athlete,,,,Swimmer,,Meet Name,,,,Swim,,Location,,
,,,,,,Country,,,,,,Date,,City,,
Men's 400 IM SCM,,,,,,,,,,,,,,,,
3,3:57.27,Laszlo Cseh,,,,HUN,,,,,,12/11/2009,,,,
4,3:59.33,Laszlo Cseh,,,,HUN,,,,,,12/14/2007,,,,
5,4:00.37,Laszlo Cseh,,,,HUN,,,,,,12/9/2005,,,,
6,4:04.24,Matthew Dunn,,,,AUS,,,,,,9/24/1998,,,,
7,4:05.41,Marcel Wouda,,,,NED,,,,,,2/8/1997,,,,
8,4:05.59,Marcel Wouda,,,,NED,,,,,,2/1/1997,,,,
9,4:06.03,Jani Sievinen,,,,FIN,,,,,,1/20/1996,,,,
10,4:07.10,Jani Sievinen,,,,FIN,,,,,,2/9/1993,,,,
11,4:08.77,Luca Sacchi,,,,ITA,,,,,,2/28/1992,,,,
,,,,,,,,,,,,,,,,
Women's 400 IM SCM,,,,,,,,,,,,,,,,
1,4:18.94,Mireia Belmonte,,,,ESP,,2017 World Cup - Eindhoven,,,,8/12/2017,,Eindhoven,,
2,4:19.46,Katinka Hosszu,,,,HUN,,2015 European SC Champs,,,,12/2/2015,,Netanya,,
3,4:19.86,Mireia Belmonte,,,,ESP,,2014 SCM World Champs ,,,,12/3/2014,,Doha,,
4,4:20.83,Katinka Hosszu,,,,HUN,,2014 World Cup - Doha,,,,8/28/2014,,Doha,,
5,4:20.85,Katinka Hosszu,,,,HUN,,2013 World Cup - Berlin,,,,8/11/2013,,Berlin,,
6,4:21.04,Julia Smit,,,,USA,,Top Times (personal best),,,,12/18/2009,,Manchester,,
7,4:22.88,Kathryn Meaklim,,,,RSA,,,,,,11/22/2009,,,,
8,4:25.06,Mireia Belmonte,,,,ESP,,,,,,12/14/2008,,,,
9,4:25.87,Julia Smit,,,,USA,,,,,,11/28/2008,,,,
10,4:26.52,Kirsty Coventry,,,,ZIM,,,,,,4/9/2008,,,,
11,4:27.83,Yana Klochkova,,,,UKR,,,,,,1/19/2002,,,,
12,4:29.00,Dai Guohong,,,,CHN,,,,,,12/2/1993,,,,
,,,,,,,,,,,,,,,,
Women's 200 FR-R SCM,,,,,,,,,,,,,,,,
1,1:33.91,Ranomi Kromowidjojo,,,,,,2017 European SCM Champs,,,,12/15/2017,,Copenhagen,,
2,1:34.24,Inge Dekker,,,,NED,,,,,,12/7/2014,,Doha,,
3,1:35.74,Esmee Vermeulen,,,,NED,,,,,,12/7/2014,,Doha,,
4,1:37.04,Pernille Blume,,,,DEN,,,,,,12/12/2013,,Herning,,
,,,,,,,,,,,,,,,,
Men's 200 FR-R SCM,,,,,,,,,,,,,,,,
1,1:21.80,Caeleb Dressel,,,,USA,,2018 SCM World Champs,,,,12/14/2018,,Hangzhou,,
2,1:22.60,Vladimir Morozov,,,,RUS,,,,,,12/6/2014,,Doha,,
3,1:23.36,Vladimir Morozov,,,,RUS,,,,,,12/15/2013,,Herning,,
,,,,,,,,,,,,,,,,
Mixed 200 FR-R SCM,,,,,,,,,,,,,,,,
1,1:27.89,Caeleb Dressel,,,,USA,,,,,,12/12/2018,,Hangzhou,,
2,1:28.39,Tim Korstanje,,,,NED,,,,,,12/16/2017,,Copenhagen,,
,,,,,,,,,,,,,,,,
Men's 400 FR-R SCM,,,,,,,,,,,,,,,,
1,3:03.03,Caeleb Dressel,,,,USA,,,,,,12/11/2018,,Hangzhou,,
2,3:03.30,Nathan Adrian,,,,USA,,,,,,12/19/2009,,Manchester,,
,,,,,,,,,,,,,,,,
Women's 400 FR-R SCM,,,,,,,,,,,,,,,,
1,3:26.53,Inge Dekker,,,,NED,,,,,,12/5/2014,,Doha,,
2,3:28.22,Hinkelien Schreuder,,,,NED,,,,,,12/19/2008,,Eindhoven,,
,,,,,,,,,,,,,,,,
Men's 800 FR-R SCM,,,,,,,,,,,,,,,,
1,6:46.81,Luiz Melo,,,,BRA,,2018 SCM World Champs,,,,12/14/2018,,Hangzhou,,
2,6:49.04,Nikita Lobintsev,,,,RUS,,,,,,12/16/2010,,Dubai (UAE),,
1/30/2020 6:38:05 PM,,,,,,Highlighted Record ,,,,,,,Page,12,of,12
,,,,World Record Progressions,,,,,,,,,,,,
Rank,Time,Athlete,,,,Swimmer,,Meet Name,,,,Swim,,Location,,
,,,,,,Country,,,,,,Date,,City,,
Women's 800 FR-R SCM,,,,,,,,,,,,,,,,
1,7:32.85,Inge Dekker,,,,NED,,,,,,12/3/2014,,Doha,,
2,7:35.94,Chen Qian,,,,CHN,,,,,,12/15/2010,,Dubai (UAE),,
,,,,,,,,,,,,,,,,
Women's 200 MED-R SCM,,,,,,,,,,,,,,,,
1,1:42.38,Olivia Smoliga,,,,,,,,,,12/12/2018,,Hangzhou,,
2,1:43.27,Ali DeLoof,,,,,,,,,,12/7/2016,,Windsor,,
3,1:44.04,Mie Nielsen,,,,DEN,,,,,,12/5/2014,,Doha,,
4,1:45.92,Mie Nielsen,,,,DEN,,,,,,12/15/2013,,Herning,,
,,,,,,,,,,,,,,,,
Men's 200 MED-R SCM,,,,,,,,,,,,,,,,
1,1:30.51,Guilherme Guido,,,,BRA,,,,,,12/4/2014,,Doha,,
2,1:32.78,Stanislav Donets,,,,RUS,,,,,,12/4/2014,,Doha,,
3,1:33.65,Niccolo Bonacchi,,,,ITA,,,,,,12/12/2013,,Herning,,
,,,,,,,,,,,,,,,,
Mixed 200 MED-R SCM,,,,,,,,,,,,,,,,
1,1:36.22,Kliment Kolesnikov,,,,RUS,,,,,,12/5/2019,,Glasgow,,
2,1:36.40,Olivia Smoliga,,,,USA,,,,,,12/13/2018,,Hangzhou,,
3,1:37.17,Eugene Godsoe,,,,USA,,,,,,12/21/2013,,Glasgow,,
,,,,,,,,,,,,,,,,
Men's 400 MED-R SCM,,,,,,,,,,,,,,,,
1,3:19.16,Stanislav Donets,,,,RUS,,,,,,12/20/2009,,Saint Petersburg,,
,,,,,,,,,,,,,,,,
Women's 400 MED-R SCM,,,,,,,,,,,,,,,,
1,3:45.20,Courtney Bartholomew,,,,,,,,,,12/11/2015,,Indianapolis,,
2,3:45.56,Natalie Hall,,,,USA,,,,,,12/16/2011,,Atllanta,,
